Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2008,Florida,FL,HILLSBOROUGH,1196773,2008,1507903618.6257374
2008,Florida,FL,HOLMES,20141,2008,5350438.7895875
2008,Florida,FL,INDIAN RIVER,136277,2008,64186802.972625
2008,Florida,FL,JACKSON,50272,2008,12130103.3215
2008,Florida,FL,JEFFERSON,14606,2008,2123425.9035
2008,Florida,FL,LAFAYETTE,8465,2008,1361092.75
2008,Florida,FL,LAKE,293654,2008,103711049.2707
2008,Florida,FL,LEE,610984,2008,340668929.5272875
2008,Florida,FL,LEON,271130,2008,51120250.0932625
2008,Florida,FL,LEVY,40809,2008,28379512.6129
2008,Florida,FL,LIBERTY,8323,2008,771974.0625
2008,Florida,FL,MADISON,19347,2008,2793881.2853625
2008,Florida,FL,MANATEE,318766,2008,196741843.14975
2008,Florida,FL,MARION,330052,2008,160020950.8733625
2008,Florida,FL,MARTIN,144369,2008,99157779.642725
2008,Florida,FL,MIAMI-DADE,2436062,2008,519536806.5603875
2008,Florida,FL,MONROE,72730,2008,53446096.2143625
2008,Florida,FL,NASSAU,71557,2008,38339252.757
2008,Florida,FL,OKALOOSA,181752,2008,53881856.7003125
2008,Florida,FL,OKEECHOBEE,39968,2008,29189020.214925
2008,Florida,FL,ORANGE,1115525,2008,483055087.5378
2008,Florida,FL,OSCEOLA,261746,2008,93117015.4062625
2008,Florida,FL,PALM BEACH,1294938,2008,1334354383.1702626
2008,Florida,FL,PASCO,461313,2008,494709084.4496125
2008,Florida,FL,PINELLAS,916458,2008,933646569.568775
2008,Florida,FL,POLK,594801,2008,171113176.12785
2008,Florida,FL,PUTNAM,74999,2008,45305651.0537625
2008,Florida,FL,SANTA ROSA,148538,2008,57690950.8617125
2008,Florida,FL,SARASOTA,377178,2008,324196668.0051875
2008,Florida,FL,SEMINOLE,416564,2008,256465771.5015625
2008,Florida,FL,SUMTER,86433,2008,21509172.271725
2008,Florida,FL,SUWANNEE,40774,2008,12980800.460675
2008,Florida,FL,TAYLOR,22356,2008,8597878.620000001
2008,Florida,FL,UNION,15718,2008,3458164.69335
2008,Florida,FL,VOLUSIA,497366,2008,275349336.92035
2008,Florida,FL,WAKULLA,29183,2008,8114921.953500001
2008,Florida,FL,WALTON,53563,2008,24625185.6823375
2008,Florida,FL,WASHINGTON,24706,2008,11461812.004125
2009,Florida,FL,ALACHUA,246657,2009,141281048.185425
2009,Florida,FL,BAKER,27124,2009,19165967.295
2009,Florida,FL,BAY,167464,2009,68131167.1929375
2009,Florida,FL,BRADFORD,28979,2009,21250949.6668125
2009,Florida,FL,BREVARD,542109,2009,365366249.71935
2009,Florida,FL,BROWARD,1733310,2009,2584508114.01662
2009,Florida,FL,CALHOUN,14692,2009,2580235.47
2009,Florida,FL,CHARLOTTE,159629,2009,191565348.6274875
2009,Florida,FL,CITRUS,141381,2009,81649551.25245
2009,Florida,FL,CLAY,189101,2009,125011367.1661125
2009,Florida,FL,COLLIER,318485,2009,202995696.267675
2009,Florida,FL,COLUMBIA,67412,2009,40150096.770225
2009,Florida,FL,DESOTO,34592,2009,0.0
2009,Florida,FL,DIXIE,16403,2009,2874669.0413625
2009,Florida,FL,DUVAL,859795,2009,534398118.6508125
2009,Florida,FL,ESCAMBIA,297015,2009,127790391.844725
2009,Florida,FL,FLAGLER,94700,2009,45094206.1172625
