Year,State,Population,T_YEAR,MME
2009,Washington,6667426,78351,2484831.6808806
2010,Washington,6724540,78390,2537822.70896595
2011,Washington,6830038,78429,2514218.40040065
2012,Washington,6897012,78468,2454681.480552675
2013,Washington,6971406,78507,2421293.07275235
2014,Washington,7061530,78546,2461992.704741925
