Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2008,Florida,FL,HILLSBOROUGH,1196773,2008,1507903.6186257375
2008,Florida,FL,HOLMES,20141,2008,5350.4387895875
2008,Florida,FL,INDIAN RIVER,136277,2008,64186.802972625
2008,Florida,FL,JACKSON,50272,2008,12130.1033215
2008,Florida,FL,JEFFERSON,14606,2008,2123.4259035
2008,Florida,FL,LAFAYETTE,8465,2008,1361.09275
2008,Florida,FL,LAKE,293654,2008,103711.0492707
2008,Florida,FL,LEE,610984,2008,340668.9295272875
2008,Florida,FL,LEON,271130,2008,51120.2500932625
2008,Florida,FL,LEVY,40809,2008,28379.5126129
2008,Florida,FL,LIBERTY,8323,2008,771.9740625
2008,Florida,FL,MADISON,19347,2008,2793.8812853625
2008,Florida,FL,MANATEE,318766,2008,196741.84314975
2008,Florida,FL,MARION,330052,2008,160020.9508733625
2008,Florida,FL,MARTIN,144369,2008,99157.779642725
2008,Florida,FL,MIAMI-DADE,2436062,2008,519536.8065603875
2008,Florida,FL,MONROE,72730,2008,53446.0962143625
2008,Florida,FL,NASSAU,71557,2008,38339.252757
2008,Florida,FL,OKALOOSA,181752,2008,53881.8567003125
2008,Florida,FL,OKEECHOBEE,39968,2008,29189.020214925
2008,Florida,FL,ORANGE,1115525,2008,483055.0875378
2008,Florida,FL,OSCEOLA,261746,2008,93117.01540626252
2008,Florida,FL,PALM BEACH,1294938,2008,1334354.3831702624
2008,Florida,FL,PASCO,461313,2008,494709.0844496125
2008,Florida,FL,PINELLAS,916458,2008,933646.569568775
2008,Florida,FL,POLK,594801,2008,171113.17612785
2008,Florida,FL,PUTNAM,74999,2008,45305.6510537625
2008,Florida,FL,SANTA ROSA,148538,2008,57690.9508617125
2008,Florida,FL,SARASOTA,377178,2008,324196.6680051876
2008,Florida,FL,SEMINOLE,416564,2008,256465.7715015625
2008,Florida,FL,SUMTER,86433,2008,21509.172271725
2008,Florida,FL,SUWANNEE,40774,2008,12980.800460675
2008,Florida,FL,TAYLOR,22356,2008,8597.87862
2008,Florida,FL,UNION,15718,2008,3458.16469335
2008,Florida,FL,VOLUSIA,497366,2008,275349.33692035
2008,Florida,FL,WAKULLA,29183,2008,8114.9219535
2008,Florida,FL,WALTON,53563,2008,24625.1856823375
2008,Florida,FL,WASHINGTON,24706,2008,11461.812004125
2009,Florida,FL,ALACHUA,246657,2009,141281.048185425
