,States
0,Alaska
1,Hawaii
2,Iowa
3,Kansas
4,Maine
5,Massachusetts
6,Minnesota
7,Montana
8,Nebraska
9,North Dakota
10,Oregon
11,South Dakota
12,Virginia
13,Wyoming
