,States
0,California
1,Nevada
2,New York
3,Texas
4,Alaska
5,Hawaii
6,Iowa
7,Kansas
8,Maine
9,Massachusetts
10,Minnesota
11,Montana
12,Nebraska
13,North Dakota
14,Oregon
15,South Dakota
16,Virginia
17,Wyoming
18,Arkansas
19,California
20,Georgia
21,Missouri
22,New York
23,Wyoming
