Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2007,New York,NY,LIVINGSTON,65460,2007,11397.2207775
2007,New York,NY,MADISON,72709,2007,15856.536812
2007,New York,NY,MONROE,739249,2007,198134.85259448751
2007,New York,NY,MONTGOMERY,49798,2007,8870.3263215
2007,New York,NY,NASSAU,1322048,2007,351379.060279775
2007,New York,NY,NEW YORK,1581402,2007,387576.5655843875
2007,New York,NY,NIAGARA,215791,2007,79851.2955212125
2007,New York,NY,ONEIDA,234488,2007,56540.71668115
2007,New York,NY,ONONDAGA,461287,2007,118301.881676525
2007,New York,NY,ONTARIO,105216,2007,25871.7272260125
2007,New York,NY,ORANGE,368464,2007,103455.209662
2007,New York,NY,ORLEANS,43342,2007,11513.0531475
2007,New York,NY,OSWEGO,122213,2007,29143.2347415
2007,New York,NY,OTSEGO,62914,2007,18043.8970875
2007,New York,NY,PUTNAM,99454,2007,20077.402644525
2007,New York,NY,QUEENS,2177351,2007,197573.5140452
2007,New York,NY,RENSSELAER,158243,2007,24157.2138945125
2007,New York,NY,RICHMOND,459642,2007,203003.19983715
2007,New York,NY,ROCKLAND,301668,2007,63648.9369632625
2007,New York,NY,SARATOGA,215798,2007,34318.131477
2007,New York,NY,SCHENECTADY,152275,2007,20624.8880744875
2007,New York,NY,SCHOHARIE,32894,2007,8709.831081
2007,New York,NY,SCHUYLER,18707,2007,4811.876046
2007,New York,NY,SENECA,35469,2007,6367.07031
2007,New York,NY,STEUBEN,98541,2007,19325.5368255
2007,New York,NY,SUFFOLK,1475255,2007,466149.975773725
2007,New York,NY,SULLIVAN,77991,2007,34847.619398212504
2007,New York,NY,TIOGA,51565,2007,9337.249434675
2007,New York,NY,TOMPKINS,99910,2007,23837.593868
2007,New York,NY,ULSTER,182818,2007,50215.22865725
2007,New York,NY,WARREN,65740,2007,18505.841746725
2007,New York,NY,WASHINGTON,63054,2007,12130.468853
2007,New York,NY,WAYNE,93539,2007,19060.5065260375
2007,New York,NY,WESTCHESTER,933414,2007,151093.1038965125
2007,New York,NY,WYOMING,42515,2007,9497.55945
2007,New York,NY,YATES,25234,2007,3928.8975495
2008,California,CA,ALAMEDA,1477208,2008,535258.5704084
2008,California,CA,AMADOR,38248,2008,22079.1917897625
2008,California,CA,BUTTE,219034,2008,175282.2527968125
2008,California,CA,CALAVERAS,46265,2008,25786.9979914875
2008,California,CA,COLUSA,21134,2008,5944.4909013375
2008,California,CA,CONTRA COSTA,1023344,2008,258755.111788575
2008,California,CA,DEL NORTE,28496,2008,16896.4754709
2008,California,CA,EL DORADO,179150,2008,73239.4252406625
2008,California,CA,FRESNO,909630,2008,254561.606898325
2008,California,CA,GLENN,28019,2008,12395.1760913625
2008,California,CA,HUMBOLDT,132657,2008,98951.3971233
2008,California,CA,IMPERIAL,167917,2008,23053.3211277
2008,California,CA,INYO,18318,2008,7127.4697704375
2008,California,CA,KERN,818327,2008,193101.77735136249
2008,California,CA,KINGS,152027,2008,27157.690635675
2008,California,CA,LAKE,64392,2008,65872.0919254125
2008,California,CA,LASSEN,35221,2008,28573.8470604
2008,California,CA,LOS ANGELES,9735147,2008,1606829.323727975
2008,California,CA,MADERA,148359,2008,33452.867240537504
2008,California,CA,MARIN,248398,2008,80439.7219333125
2008,California,CA,MARIPOSA,18412,2008,2766.0343847625
2008,California,CA,MENDOCINO,87468,2008,56390.3977382625
2008,California,CA,MERCED,250538,2008,58246.7617237125
2008,California,CA,MODOC,9551,2008,5278.0926375
2008,California,CA,MONO,13862,2008,1256.637525
2008,California,CA,MONTEREY,406022,2008,115283.7902985
2008,California,CA,NAPA,134093,2008,37799.4100922125
2008,California,CA,NEVADA,98200,2008,53597.9773205
2008,California,CA,ORANGE,2957593,2008,643246.3200266625
2008,California,CA,PLACER,337568,2008,162650.4422819
2008,California,CA,PLUMAS,20410,2008,12243.8154
2008,California,CA,RIVERSIDE,2109712,2008,433774.034754775
2008,California,CA,SACRAMENTO,1394438,2008,515397.2462700125
2008,California,CA,SAN BENITO,54267,2008,11706.0553538625
2008,California,CA,SAN BERNARDINO,2003735,2008,444146.046462075
2008,California,CA,SAN DIEGO,3022116,2008,743891.062787925
2008,California,CA,SAN FRANCISCO,791152,2008,254730.6395439625
2008,California,CA,SAN JOAQUIN,671692,2008,178163.5910520875
2008,California,CA,SAN LUIS OBISPO,266358,2008,107132.0109137375
