,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
37811,2012,Iowa,5.0,136317,,3.66792109568139,Control
37812,2010,Iowa,5.0,20638,,24.227153793972285,Control
37813,2008,Iowa,5.0,10620,,47.080979284369114,Control
37814,2006,Iowa,5.0,16045,,31.162355874104083,Control
37815,2004,Iowa,5.0,36587,,13.666056249487523,Control
37816,2002,Iowa,5.0,195987,,2.551189619719675,Control
37817,2000,Iowa,5.0,12183,,41.04079454978248,Control
37818,2019,Iowa,5.0,19439,,25.721487730850352,Control
37819,2017,Iowa,5.0,36966,,13.525942758210247,Control
37820,2015,Iowa,5.0,17555,,28.48191398461977,Control
37821,2013,Iowa,5.0,139155,,3.5931155905285475,Control
37822,2011,Iowa,5.0,20608,,24.262422360248447,Control
37823,2009,Iowa,5.0,10552,,47.384382107657316,Control
37824,2007,Iowa,5.0,15878,,31.490112104799096,Control
37825,2005,Iowa,5.0,36364,,13.749862501374984,Control
37826,2003,Iowa,5.0,196920,,2.5391021734714605,Control
37827,2001,Iowa,5.0,12184,,41.037426132632966,Control
37828,1999,Iowa,5.0,9461,,52.84853609555016,Control
37829,2019,Iowa,5.0,37185,,13.44628210299852,Control
37830,2017,Iowa,5.0,18422,,27.14146129627619,Control
37831,2015,Iowa,5.0,144251,,3.466180477085081,Control
37832,2013,Iowa,5.0,20611,,24.25889088350881,Control
37833,2011,Iowa,5.0,10378,,48.178839853536324,Control
37834,2009,Iowa,5.0,15630,,31.98976327575176,Control
37835,2007,Iowa,5.0,36130,,13.83891502906172,Control
37836,2005,Iowa,5.0,200395,,2.4950722323411263,Control
37837,2003,Iowa,5.0,12230,,40.88307440719542,Control
37838,2001,Iowa,5.0,9386,,53.2708288940976,Control
37839,1999,Iowa,5.0,11812,,42.329834067050456,Control
37840,2020,Iowa,5.0,37148,,13.459674814256486,Control
37841,2018,Iowa,5.0,18381,,27.202002067352158,Control
37842,2016,Iowa,5.0,146547,,3.4118746886664346,Control
37843,2014,Iowa,5.0,20454,,24.44509631367948,Control
37844,2012,Iowa,5.0,10374,,48.19741661846925,Control
37845,2010,Iowa,5.0,15543,,32.16882197773918,Control
37846,2008,Iowa,5.0,35819,,13.95907200089338,Control
37847,2006,Iowa,5.0,202709,,2.4665900379361547,Control
37848,2004,Iowa,5.0,12115,,41.27115146512588,Control
37849,2002,Iowa,5.0,9360,,53.41880341880342,Control
