,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
6229,2008,Florida,88.0,1723633,Brevard County,5.105495195322902,Policy
6230,2006,Florida,88.0,13997,Brevard County,628.7061513181396,Policy
6231,2004,Florida,88.0,157755,Brevard County,55.78270102373934,Policy
6232,2002,Florida,88.0,123491,Brevard County,71.26025378367655,Policy
6233,2000,Florida,88.0,140814,Brevard County,62.493786129220105,Policy
6234,2018,Florida,14.0,269956,Brevard County,5.186030316051505,Policy
6235,2016,Florida,14.0,27937,Brevard County,50.112753695815584,Policy
6236,2014,Florida,14.0,178985,Brevard County,7.821884515462189,Policy
6237,2012,Florida,14.0,27049,Brevard County,51.757920810381165,Policy
6238,2010,Florida,14.0,543376,Brevard County,2.5764847913783457,Policy
6239,2008,Florida,14.0,1723633,Brevard County,0.8122378719831891,Policy
6240,2006,Florida,14.0,13997,Brevard County,100.02143316424949,Policy
6241,2004,Florida,14.0,157755,Brevard County,8.874520617413078,Policy
6242,2002,Florida,14.0,123491,Brevard County,11.336858556493995,Policy
6243,2000,Florida,14.0,140814,Brevard County,9.942193247830472,Policy
6244,2019,Florida,24.0,269043,Brevard County,8.920507130830387,Policy
6245,2017,Florida,24.0,28283,Brevard County,84.85662765618923,Policy
6246,2015,Florida,24.0,181635,Brevard County,13.213312412255348,Policy
6247,2013,Florida,24.0,26850,Brevard County,89.3854748603352,Policy
6248,2011,Florida,24.0,543566,Brevard County,4.415287196035072,Policy
6249,2009,Florida,24.0,1733310,Brevard County,1.3846340239195527,Policy
6250,2007,Florida,24.0,14222,Brevard County,168.75263675994938,Policy
6251,2005,Florida,24.0,155262,Brevard County,15.457742396722958,Policy
6252,2003,Florida,24.0,126215,Brevard County,19.015172523075705,Policy
6253,2001,Florida,24.0,145685,Brevard County,16.473899166008852,Policy
6254,1999,Florida,24.0,245094,Brevard County,9.792161374819457,Policy
6255,2019,Florida,82.0,269043,Brevard County,30.47839936367049,Policy
6256,2017,Florida,82.0,28283,Brevard County,289.92681115864656,Policy
6257,2015,Florida,82.0,181635,Brevard County,45.14548407520577,Policy
6258,2013,Florida,82.0,26850,Brevard County,305.4003724394786,Policy
6259,2011,Florida,82.0,543566,Brevard County,15.085564586453161,Policy
6260,2009,Florida,82.0,1733310,Brevard County,4.730832915058472,Policy
6261,2007,Florida,82.0,14222,Brevard County,576.571508929827,Policy
6262,2005,Florida,82.0,155262,Brevard County,52.813953188803445,Policy
6263,2003,Florida,82.0,126215,Brevard County,64.96850612050866,Policy
6264,2001,Florida,82.0,145685,Brevard County,56.28582215053026,Policy
6265,1999,Florida,82.0,245094,Brevard County,33.456551363966476,Policy
6266,2019,Florida,10.0,269043,Brevard County,3.716877971179328,Policy
6267,2017,Florida,10.0,28283,Brevard County,35.35692819007885,Policy
6268,2015,Florida,10.0,181635,Brevard County,5.505546838439728,Policy
6269,2013,Florida,10.0,26850,Brevard County,37.243947858473,Policy
6270,2011,Florida,10.0,543566,Brevard County,1.839702998347947,Policy
6271,2009,Florida,10.0,1733310,Brevard County,0.5769308432998137,Policy
6272,2007,Florida,10.0,14222,Brevard County,70.31359864997891,Policy
6273,2005,Florida,10.0,155262,Brevard County,6.440725998634567,Policy
6274,2003,Florida,10.0,126215,Brevard County,7.922988551281542,Policy
6275,2001,Florida,10.0,145685,Brevard County,6.86412465250369,Policy
6276,1999,Florida,10.0,245094,Brevard County,4.080067239508107,Policy
6277,2019,Florida,43.0,269043,Broward County,15.98257527607111,Policy
6278,2017,Florida,43.0,28283,Broward County,152.03479121733903,Policy
6279,2015,Florida,43.0,181635,Broward County,23.67385140529083,Policy
6280,2013,Florida,43.0,26850,Broward County,160.14897579143388,Policy
6281,2011,Florida,43.0,543566,Broward County,7.910722892896171,Policy
6282,2009,Florida,43.0,1733310,Broward County,2.480802626189199,Policy
6283,2007,Florida,43.0,14222,Broward County,302.3484741949093,Policy
6284,2005,Florida,43.0,155262,Broward County,27.69512179412863,Policy
6285,2003,Florida,43.0,126215,Broward County,34.068850770510636,Policy
6286,2001,Florida,43.0,145685,Broward County,29.515736005765866,Policy
6287,1999,Florida,43.0,245094,Broward County,17.54428912988486,Policy
6288,2019,Florida,191.0,269043,Broward County,70.99236924952517,Policy
6289,2017,Florida,191.0,28283,Broward County,675.317328430506,Policy
6290,2015,Florida,191.0,181635,Broward County,105.1559446141988,Policy
6291,2013,Florida,191.0,26850,Broward County,711.3594040968343,Policy
6292,2011,Florida,191.0,543566,Broward County,35.138327268445785,Policy
6293,2009,Florida,191.0,1733310,Broward County,11.019379107026442,Policy
6294,2007,Florida,191.0,14222,Broward County,1342.989734214597,Policy
6295,2005,Florida,191.0,155262,Broward County,123.01786657392022,Policy
6296,2003,Florida,191.0,126215,Broward County,151.32908132947748,Policy
6297,2001,Florida,191.0,145685,Broward County,131.10478086282046,Policy
6298,1999,Florida,191.0,245094,Broward County,77.92928427460484,Policy
6299,2019,Florida,33.0,269043,Broward County,12.265697304891782,Policy
6300,2017,Florida,33.0,28283,Broward County,116.6778630272602,Policy
6301,2015,Florida,33.0,181635,Broward County,18.168304566851102,Policy
6302,2013,Florida,33.0,26850,Broward County,122.90502793296089,Policy
6303,2011,Florida,33.0,543566,Broward County,6.071019894548224,Policy
6304,2009,Florida,33.0,1733310,Broward County,1.903871782889385,Policy
6305,2007,Florida,33.0,14222,Broward County,232.0348755449304,Policy
6306,2005,Florida,33.0,155262,Broward County,21.254395795494066,Policy
6307,2003,Florida,33.0,126215,Broward County,26.14586221922909,Policy
6308,2001,Florida,33.0,145685,Broward County,22.651611353262176,Policy
6309,1999,Florida,33.0,245094,Broward County,13.464221890376754,Policy
6310,2019,Florida,12.0,269043,Broward County,4.460253565415194,Policy
6311,2017,Florida,12.0,28283,Broward County,42.428313828094616,Policy
6312,2015,Florida,12.0,181635,Broward County,6.606656206127674,Policy
6313,2013,Florida,12.0,26850,Broward County,44.6927374301676,Policy
6314,2011,Florida,12.0,543566,Broward County,2.207643598017536,Policy
6315,2009,Florida,12.0,1733310,Broward County,0.6923170119597764,Policy
6316,2007,Florida,12.0,14222,Broward County,84.37631837997469,Policy
6317,2005,Florida,12.0,155262,Broward County,7.728871198361479,Policy
6318,2003,Florida,12.0,126215,Broward County,9.507586261537853,Policy
6319,2001,Florida,12.0,145685,Broward County,8.236949583004426,Policy
6320,1999,Florida,12.0,245094,Broward County,4.896080687409729,Policy
6321,2020,Florida,21.0,271218,Brevard County,7.742848925956242,Policy
6322,2018,Florida,21.0,28355,Brevard County,74.06101216716628,Policy
6323,2016,Florida,21.0,183974,Brevard County,11.414656418841792,Policy
6324,2014,Florida,21.0,26702,Brevard County,78.64579432252266,Policy
6325,2012,Florida,21.0,547307,Brevard County,3.836969013734522,Policy
6326,2010,Florida,21.0,1748066,Brevard County,1.2013276386589522,Policy
6327,2008,Florida,21.0,14351,Brevard County,146.33126611385967,Policy
6328,2006,Florida,21.0,157099,Brevard County,13.367367074265273,Policy
6329,2004,Florida,21.0,129840,Brevard County,16.173752310536045,Policy
6330,2002,Florida,21.0,150947,Brevard County,13.912167846992654,Policy
6331,2000,Florida,21.0,251377,Brevard County,8.353986243769318,Policy
6332,2020,Florida,76.0,271218,Brevard County,28.021738970127352,Policy
6333,2018,Florida,76.0,28355,Brevard County,268.0303297478399,Policy
6334,2016,Florida,76.0,183974,Brevard County,41.31018513485601,Policy
6335,2014,Florida,76.0,26702,Brevard County,284.6228746910344,Policy
6336,2012,Florida,76.0,547307,Brevard County,13.886173573515414,Policy
6337,2010,Florida,76.0,1748066,Brevard County,4.347661930384779,Policy
6338,2008,Florida,76.0,14351,Brevard County,529.5798202215873,Policy
6339,2006,Florida,76.0,157099,Brevard County,48.37713798305527,Policy
6340,2004,Florida,76.0,129840,Brevard County,58.5335797905114,Policy
6341,2002,Florida,76.0,150947,Brevard County,50.348797922449606,Policy
6342,2000,Florida,76.0,251377,Brevard County,30.233474025069913,Policy
6343,2020,Florida,10.0,271218,Brevard County,3.68707091712202,Policy
6344,2018,Florida,10.0,28355,Brevard County,35.26714865103156,Policy
6345,2016,Florida,10.0,183974,Brevard County,5.435550675638949,Policy
6346,2014,Florida,10.0,26702,Brevard County,37.450378248820314,Policy
6347,2012,Florida,10.0,547307,Brevard County,1.8271281017783436,Policy
6348,2010,Florida,10.0,1748066,Brevard County,0.5720607803137868,Policy
6349,2008,Florida,10.0,14351,Brevard County,69.68155529231413,Policy
6350,2006,Florida,10.0,157099,Brevard County,6.365412892507273,Policy
6351,2004,Florida,10.0,129840,Brevard County,7.701786814540974,Policy
6352,2002,Florida,10.0,150947,Brevard County,6.6248418319012625,Policy
6353,2000,Florida,10.0,251377,Brevard County,3.978088687509199,Policy
6354,2020,Florida,34.0,271218,Broward County,12.536041118214866,Policy
6355,2018,Florida,34.0,28355,Broward County,119.90830541350732,Policy
6356,2016,Florida,34.0,183974,Broward County,18.48087229717243,Policy
6357,2014,Florida,34.0,26702,Broward County,127.33128604598906,Policy
6358,2012,Florida,34.0,547307,Broward County,6.212235546046369,Policy
6359,2010,Florida,34.0,1748066,Broward County,1.945006653066875,Policy
6360,2008,Florida,34.0,14351,Broward County,236.91728799386803,Policy
6361,2006,Florida,34.0,157099,Broward County,21.642403834524725,Policy
